,index,id_usuario,tipo_usuario,sistema_usuario,id_contenido,duracion_contenido,tipo_contenido,numero_sesion,recomendaciones_vistas,minutos_sesion,sistema_sesion,recomendaciones_totales,fecha_sesion,avg_valoracion,duracion_prom_sesion,porcentaje_finalizado,avg_sesiones_semana,click_rate
194,194,266,moderator,Recomendeitor_Plus,"[123, 132]",210,['short'],4,2,250,['Recomendeitor_Plus'],1,"[datetime.date(2021, 8, 11), datetime.date(2022, 10, 27)]",3.40,62.5,119.05,1.0,2.0
195,195,267,content_creator,Recomendeitor,"[161, 145, 115]",1772,"['short', 'live']",12,3,1016,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 1, 8), datetime.date(2022, 11, 11), datetime.date(2021, 4, 13)]",2.47,84.67,57.34,1.0,0.75
196,196,270,consumer,Recomendeitor_Plus,"[80, 154, 116, 71]",2040,"['short', 'documentary', 'live']",32,4,1816,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2021, 10, 29), datetime.date(2021, 7, 27), datetime.date(2021, 8, 29), datetime.date(2021, 9, 24)]",2.80,56.75,89.02,1.0,1.0
197,197,271,consumer,Recomendeitor_Plus,"[86, 142, 68, 150]",4040,"['series', 'documentary', 'live']",40,4,3060,"['Recomendeitor_Plus', 'Recomendeitor']",5,"[datetime.date(2021, 5, 26), datetime.date(2021, 5, 15), datetime.date(2021, 10, 23), datetime.date(2022, 8, 26)]",3.72,76.5,75.74,1.0,0.8
198,198,272,content_creator,Recomendeitor,"[138, 90]",1200,"['short', 'series']",12,2,1050,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 7, 19), datetime.date(2021, 5, 31)]",2.85,87.5,87.5,1.0,1.0
199,199,273,moderator,Recomendeitor,"[167, 146, 83, 21, 153]",2528,"['short', 'documentary', 'movie']",20,5,2172,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 7, 5), datetime.date(2021, 11, 16), datetime.date(2022, 10, 22), datetime.date(2022, 6, 6), datetime.date(2021, 4, 24)]",3.22,108.6,85.92,1.0,2.5
200,200,274,consumer,Recomendeitor,"[96, 181]",228,"['short', 'series']",6,2,453,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 10, 7), datetime.date(2021, 10, 20)]",3.55,75.5,198.68,1.0,2.0
201,201,275,consumer,Recomendeitor_Plus,"[38, 22]",1128,"['short', 'movie']",12,2,1452,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 5, 7), datetime.date(2022, 8, 21)]",2.75,121.0,128.72,1.0,1.0
202,202,277,moderator,Recomendeitor,"[81, 9]",1410,"['short', 'documentary']",12,2,1458,['Recomendeitor'],1,"[datetime.date(2022, 3, 17), datetime.date(2021, 8, 21)]",3.30,121.5,103.4,1.0,2.0
203,203,278,moderator,Recomendeitor,"[81, 101, 5, 110]",2547,"['documentary', 'movie']",36,4,3465,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 10, 20), datetime.date(2021, 9, 2), datetime.date(2022, 11, 9), datetime.date(2022, 8, 24)]",3.70,96.25,136.04,1.0,1.33
204,204,279,admin,Recomendeitor,[109],156,['series'],4,1,16,['Recomendeitor_Plus'],2,"[datetime.date(2022, 4, 20)]",4.20,4.0,10.26,1.0,0.5
205,205,281,moderator,Recomendeitor_Plus,"[146, 171]",1140,"['documentary', 'series']",12,2,1128,['Recomendeitor'],3,"[datetime.date(2022, 3, 25), datetime.date(2022, 7, 18)]",4.40,94.0,98.95,1.0,0.67
206,206,284,content_creator,Recomendeitor,"[66, 37]",284,['movie'],2,2,242,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 9, 8), datetime.date(2021, 1, 23)]",1.35,121.0,85.21,1.0,2.0
207,207,285,moderator,Recomendeitor_Plus,"[40, 178, 103, 39]",2888,"['short', 'series', 'live']",32,4,2320,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 9, 11), datetime.date(2022, 3, 1), datetime.date(2022, 12, 27), datetime.date(2022, 3, 11)]",2.48,72.5,80.33,1.0,2.0
208,208,286,content_creator,Recomendeitor_Plus,[136],1300,['series'],10,1,1750,['Recomendeitor'],5,"[datetime.date(2021, 8, 7)]",2.80,175.0,134.62,1.0,0.2
209,209,289,moderator,Recomendeitor,"[42, 29, 38]",478,"['short', 'live', 'movie']",6,3,174,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 11, 28), datetime.date(2022, 8, 10), datetime.date(2021, 8, 18)]",2.97,29.0,36.4,1.0,1.5
210,210,291,content_creator,Recomendeitor,"[116, 92, 31]",2264,"['short', 'movie']",24,3,3008,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 9, 6), datetime.date(2021, 9, 5), datetime.date(2022, 12, 18)]",2.90,125.33,132.86,1.0,1.5
211,211,293,consumer,Recomendeitor,"[65, 153]",490,"['short', 'movie']",4,2,582,['Recomendeitor'],1,"[datetime.date(2022, 1, 31), datetime.date(2022, 12, 5)]",2.15,145.5,118.78,1.0,2.0
212,212,295,content_creator,Recomendeitor,[165],132,['series'],6,1,372,['Recomendeitor'],3,"[datetime.date(2021, 5, 17)]",3.80,62.0,281.82,1.0,0.33
213,213,296,admin,Recomendeitor,"[42, 108, 44, 183, 25]",338,"['short', 'documentary', 'series', 'movie']",10,5,1246,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 9, 27), datetime.date(2021, 2, 28), datetime.date(2021, 10, 3), datetime.date(2021, 1, 21), datetime.date(2021, 11, 4)]",3.36,124.6,368.64,1.25,2.5
214,214,297,moderator,Recomendeitor_Plus,[170],280,['movie'],14,1,630,['Recomendeitor'],7,"[datetime.date(2022, 12, 1)]",3.00,45.0,225.0,1.0,0.14
215,215,298,consumer,Recomendeitor,"[172, 195, 28, 30]",345,"['short', 'series', 'documentary', 'live']",12,4,1149,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 1, 29), datetime.date(2021, 6, 25), datetime.date(2022, 8, 17), datetime.date(2022, 9, 25)]",2.78,95.75,333.04,1.0,1.33
216,216,299,content_creator,Recomendeitor_Plus,"[152, 174, 23]",256,"['series', 'movie']",3,3,206,['Recomendeitor_Plus'],1,"[datetime.date(2021, 7, 17), datetime.date(2022, 3, 23), datetime.date(2021, 3, 14)]",3.27,68.67,80.47,1.0,3.0
217,217,300,content_creator,Recomendeitor_Plus,"[120, 137]",1570,"['documentary', 'movie']",20,2,2300,['Recomendeitor_Plus'],5,"[datetime.date(2022, 2, 13), datetime.date(2021, 2, 18)]",4.00,115.0,146.5,1.0,0.4
218,218,302,consumer,Recomendeitor,"[20, 189, 78]",1020,"['live', 'series']",9,3,600,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 1, 21), datetime.date(2021, 6, 24), datetime.date(2021, 10, 14)]",3.43,66.67,58.82,1.0,1.0
219,219,303,moderator,Recomendeitor_Plus,"[80, 3, 93, 94]",804,"['short', 'live', 'series', 'movie']",12,4,1083,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 3, 13), datetime.date(2022, 7, 12), datetime.date(2022, 12, 17), datetime.date(2021, 3, 3)]",2.42,90.25,134.7,1.0,1.33
220,220,304,content_creator,Recomendeitor_Plus,"[24, 180]",2580,['live'],30,2,3690,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 12, 16), datetime.date(2021, 10, 29), datetime.date(2021, 8, 12)]",3.10,123.0,143.02,1.0,1.0
221,221,306,content_creator,Recomendeitor,"[144, 108, 118]",1764,"['documentary', 'series', 'movie']",18,3,1158,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 12, 31), datetime.date(2021, 6, 21), datetime.date(2022, 12, 27)]",2.90,64.33,65.65,1.5,1.5
222,222,308,content_creator,Recomendeitor_Plus,"[170, 164, 118, 95]",1840,"['documentary', 'live', 'movie']",20,4,1630,"['Recomendeitor_Plus', 'Recomendeitor']",5,"[datetime.date(2022, 1, 30), datetime.date(2021, 8, 15), datetime.date(2022, 6, 29), datetime.date(2022, 12, 5)]",2.62,81.5,88.59,1.0,0.8
223,223,309,content_creator,Recomendeitor,"[42, 13]",792,"['short', 'movie']",16,2,2184,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 8, 29), datetime.date(2021, 1, 26)]",2.30,136.5,275.76,1.0,1.0
224,224,310,moderator,Recomendeitor_Plus,"[116, 149, 22]",1112,"['short', 'live', 'movie']",12,3,1472,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 6, 27), datetime.date(2021, 9, 22), datetime.date(2022, 1, 6)]",3.20,122.67,132.37,1.0,0.75
225,225,311,admin,Recomendeitor_Plus,"[56, 157, 181]",2058,"['documentary', 'series']",18,3,1848,['Recomendeitor'],2,"[datetime.date(2021, 10, 6), datetime.date(2021, 8, 27), datetime.date(2021, 10, 1)]",2.47,102.67,89.8,1.0,1.5
226,226,312,moderator,Recomendeitor,"[197, 165]",624,"['series', 'live']",12,2,1254,['Recomendeitor'],6,"[datetime.date(2021, 3, 20), datetime.date(2021, 3, 30)]",3.65,104.5,200.96,1.0,0.33
227,227,314,content_creator,Recomendeitor,"[96, 132, 13, 80, 25]",690,['short'],18,5,1797,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 3, 25), datetime.date(2021, 5, 20), datetime.date(2021, 2, 9), datetime.date(2021, 5, 8), datetime.date(2021, 3, 13), datetime.date(2022, 1, 22)]",3.65,99.83,260.43,1.0,1.67
228,228,315,consumer,Recomendeitor,"[117, 78, 119]",1416,"['short', 'documentary', 'live']",12,3,1216,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 6, 25), datetime.date(2021, 1, 5), datetime.date(2022, 9, 1)]",4.13,101.33,85.88,1.0,3.0
229,229,316,moderator,Recomendeitor_Plus,"[106, 77, 118]",912,"['documentary', 'movie']",9,3,972,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 4, 17), datetime.date(2021, 7, 7), datetime.date(2022, 1, 12)]",1.65,108.0,106.58,1.0,1.0
230,230,317,consumer,Recomendeitor,"[197, 70, 76, 14, 85, 28]",4734,"['short', 'live', 'series', 'movie']",54,6,5301,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 4, 14), datetime.date(2022, 3, 23), datetime.date(2022, 8, 4), datetime.date(2022, 5, 14), datetime.date(2021, 10, 6), datetime.date(2022, 2, 5)]",2.62,98.17,111.98,1.0,2.0
231,231,318,moderator,Recomendeitor,"[177, 154]",167,['documentary'],2,2,25,['Recomendeitor_Plus'],1,"[datetime.date(2021, 6, 22), datetime.date(2022, 1, 10)]",1.60,12.5,14.97,1.0,2.0
232,232,319,content_creator,Recomendeitor_Plus,"[25, 100]",642,"['short', 'movie']",6,2,525,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 6, 16), datetime.date(2021, 1, 23)]",4.55,87.5,81.78,1.0,2.0
233,233,320,moderator,Recomendeitor_Plus,[182],672,['movie'],6,1,372,['Recomendeitor'],2,"[datetime.date(2022, 7, 23)]",4.50,62.0,55.36,1.0,0.5
234,234,321,content_creator,Recomendeitor,"[67, 93, 111]",1050,"['short', 'live', 'series']",18,3,780,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 2, 26), datetime.date(2021, 6, 24), datetime.date(2022, 7, 16)]",2.40,43.33,74.29,1.0,1.0
235,235,324,content_creator,Recomendeitor,"[110, 94]",162,"['documentary', 'movie']",6,2,702,['Recomendeitor_Plus'],1,"[datetime.date(2022, 5, 23), datetime.date(2021, 3, 8)]",2.95,117.0,433.33,1.0,2.0
236,236,326,content_creator,Recomendeitor,"[121, 26]",888,"['live', 'movie']",12,2,882,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 10, 9), datetime.date(2022, 8, 21)]",4.80,73.5,99.32,1.0,1.0
237,237,328,content_creator,Recomendeitor,"[100, 5, 71, 7]",1575,"['live', 'series', 'movie']",20,4,845,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 12, 14), datetime.date(2022, 7, 1), datetime.date(2022, 7, 13), datetime.date(2022, 8, 8)]",3.60,42.25,53.65,1.0,4.0
238,238,329,consumer,Recomendeitor,[122],232,['short'],4,1,568,['Recomendeitor_Plus'],4,"[datetime.date(2021, 10, 11)]",1.20,142.0,244.83,1.0,0.25
239,239,331,consumer,Recomendeitor_Plus,"[129, 101, 75, 44, 126]",4728,"['documentary', 'series', 'movie']",60,5,1560,"['Recomendeitor_Plus', 'Recomendeitor']",6,"[datetime.date(2022, 5, 25), datetime.date(2022, 8, 17), datetime.date(2021, 5, 24), datetime.date(2022, 12, 5), datetime.date(2021, 7, 17)]",3.18,26.0,32.99,1.0,0.83
240,240,332,consumer,Recomendeitor_Plus,[12],132,['live'],2,1,296,['Recomendeitor_Plus'],2,"[datetime.date(2022, 12, 23)]",1.10,148.0,224.24,1.0,0.5
241,241,333,content_creator,Recomendeitor_Plus,"[34, 5, 182, 63]",20706,"['documentary', 'movie']",168,4,12432,"['Recomendeitor_Plus', 'Recomendeitor']",6,"[datetime.date(2022, 10, 4), datetime.date(2022, 5, 28), datetime.date(2022, 5, 11), datetime.date(2022, 11, 21)]",3.08,74.0,60.04,1.0,0.67
242,242,334,consumer,Recomendeitor_Plus,"[40, 74, 103, 79]",4656,"['live', 'documentary', 'series', 'movie']",48,4,4260,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 4, 7), datetime.date(2021, 3, 6), datetime.date(2022, 1, 11), datetime.date(2021, 7, 6)]",2.62,88.75,91.49,1.0,1.0
243,243,335,admin,Recomendeitor_Plus,"[169, 78, 144, 19, 31]",4032,"['series', 'documentary', 'live', 'movie']",30,5,3096,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 4, 19), datetime.date(2022, 3, 13), datetime.date(2021, 4, 16), datetime.date(2021, 5, 10), datetime.date(2021, 1, 15)]",3.28,103.2,76.79,1.0,1.67
244,244,336,moderator,Recomendeitor,"[194, 108, 70]",2704,"['short', 'documentary', 'movie']",24,3,3488,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2021, 7, 25), datetime.date(2021, 2, 19), datetime.date(2022, 12, 28)]",3.13,145.33,128.99,1.0,0.75
245,245,337,content_creator,Recomendeitor,"[91, 149, 190]",306,"['short', 'series', 'live']",6,3,300,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 7, 11), datetime.date(2022, 5, 1), datetime.date(2021, 11, 11)]",2.37,50.0,98.04,1.0,1.5
246,246,339,content_creator,Recomendeitor,"[24, 4, 37, 134]",3528,"['live', 'documentary', 'series', 'movie']",32,4,1264,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 5, 14), datetime.date(2021, 10, 23), datetime.date(2022, 10, 19), datetime.date(2022, 6, 9)]",2.78,39.5,35.83,1.0,1.0
247,247,340,admin,Recomendeitor_Plus,"[128, 192, 170, 10, 49, 28]",2799,"['short', 'documentary', 'live', 'movie']",54,6,3519,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 10, 23), datetime.date(2022, 9, 5), datetime.date(2022, 7, 8), datetime.date(2021, 3, 21), datetime.date(2021, 2, 2), datetime.date(2021, 2, 22)]",2.22,65.17,125.72,1.0,2.0
248,248,341,content_creator,Recomendeitor,"[128, 37]",440,['movie'],4,2,520,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 9, 4), datetime.date(2022, 8, 13)]",1.40,130.0,118.18,1.0,1.0
249,249,342,content_creator,Recomendeitor,[115],840,['live'],5,1,400,['Recomendeitor_Plus'],5,"[datetime.date(2022, 7, 3)]",1.30,80.0,47.62,1.0,0.2
250,250,343,consumer,Recomendeitor_Plus,"[6, 11, 172, 44, 113]",968,"['short', 'documentary', 'series']",20,5,1348,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 10, 23), datetime.date(2021, 3, 1), datetime.date(2022, 11, 18), datetime.date(2022, 4, 9), datetime.date(2022, 7, 28)]",2.92,67.4,139.26,1.0,2.5
251,251,344,admin,Recomendeitor,"[58, 47]",436,['movie'],8,2,92,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 12, 10), datetime.date(2022, 8, 31)]",2.80,11.5,21.1,1.0,1.0
252,252,347,consumer,Recomendeitor,"[7, 103]",390,['series'],4,2,292,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 5, 26), datetime.date(2021, 4, 13)]",2.30,73.0,74.87,1.0,1.0
253,253,348,content_creator,Recomendeitor,"[32, 33, 36, 18, 153]",5088,"['short', 'documentary', 'series', 'movie']",60,5,5892,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 11, 11), datetime.date(2021, 10, 13), datetime.date(2022, 4, 10), datetime.date(2022, 2, 11), datetime.date(2022, 3, 22)]",3.30,98.2,115.8,1.0,1.25
254,254,349,consumer,Recomendeitor,"[162, 27, 85]",446,"['documentary', 'series']",6,3,818,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 1, 24), datetime.date(2021, 1, 5), datetime.date(2021, 8, 18)]",3.07,136.33,183.41,1.0,1.5
255,255,351,consumer,Recomendeitor,"[1, 12]",1136,['live'],16,2,712,['Recomendeitor'],8,"[datetime.date(2021, 9, 3), datetime.date(2022, 3, 13)]",1.05,44.5,62.68,1.0,0.25
256,256,352,content_creator,Recomendeitor_Plus,"[152, 39]",1052,"['short', 'movie']",8,2,416,['Recomendeitor_Plus'],2,"[datetime.date(2022, 3, 13), datetime.date(2021, 8, 18)]",2.45,52.0,39.54,1.0,1.0
257,257,354,consumer,Recomendeitor_Plus,[110],130,['documentary'],10,1,1500,['Recomendeitor'],2,"[datetime.date(2022, 5, 18)]",4.90,150.0,1153.85,1.0,0.5
258,258,355,content_creator,Recomendeitor_Plus,"[122, 137, 170, 171, 107, 15, 80, 143, 186]",513,"['short', 'documentary', 'series', 'movie']",9,9,783,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2021, 12, 26), datetime.date(2022, 1, 19), datetime.date(2022, 5, 23), datetime.date(2021, 7, 9), datetime.date(2021, 10, 26), datetime.date(2021, 4, 10), datetime.date(2022, 2, 11), datetime.date(2021, 6, 17), datetime.date(2021, 3, 31)]",2.69,87.0,152.63,1.0,9.0
259,259,356,admin,Recomendeitor_Plus,"[107, 156]",3144,['series'],24,2,2712,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 10, 24), datetime.date(2021, 6, 24)]",3.20,113.0,86.26,1.0,0.67
260,260,358,moderator,Recomendeitor,"[184, 154]",684,['documentary'],8,2,656,['Recomendeitor'],1,"[datetime.date(2022, 8, 9), datetime.date(2022, 9, 26)]",2.95,82.0,95.91,1.0,2.0
261,261,359,admin,Recomendeitor_Plus,[35],1224,['movie'],9,1,630,['Recomendeitor'],3,"[datetime.date(2022, 2, 23)]",1.80,70.0,51.47,1.0,0.33
262,262,360,consumer,Recomendeitor_Plus,"[2, 35]",1310,"['live', 'movie']",15,2,1250,"['Recomendeitor_Plus', 'Recomendeitor']",5,"[datetime.date(2022, 9, 15), datetime.date(2022, 8, 29), datetime.date(2022, 1, 19)]",2.10,83.33,95.42,1.0,0.4
263,263,361,admin,Recomendeitor,"[155, 71, 55]",1200,['live'],18,3,1578,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 4, 17), datetime.date(2021, 3, 19), datetime.date(2022, 12, 17)]",4.30,87.67,131.5,1.0,1.0
264,264,362,admin,Recomendeitor,[1],76,['live'],1,1,71,['Recomendeitor'],1,"[datetime.date(2022, 9, 8)]",1.00,71.0,93.42,1.0,1.0
265,265,365,admin,Recomendeitor_Plus,[46],444,['series'],4,1,76,['Recomendeitor_Plus'],2,"[datetime.date(2022, 3, 9)]",3.30,19.0,17.12,1.0,0.5
266,266,366,admin,Recomendeitor,"[77, 178, 180, 186, 91]",2637,"['series', 'live', 'movie']",45,5,4320,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 6, 27), datetime.date(2022, 9, 5), datetime.date(2021, 8, 3), datetime.date(2022, 2, 11), datetime.date(2022, 7, 9)]",2.95,96.0,163.82,1.0,2.5
267,267,367,consumer,Recomendeitor_Plus,"[129, 99, 7, 200, 39, 146]",4014,"['short', 'documentary', 'series', 'live']",36,6,3744,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 4, 25), datetime.date(2021, 6, 28), datetime.date(2022, 10, 8), datetime.date(2022, 4, 23), datetime.date(2021, 1, 20), datetime.date(2021, 2, 22)]",3.13,104.0,93.27,1.0,3.0
268,268,368,moderator,Recomendeitor,"[89, 42, 67, 167]",2382,"['short', 'movie']",30,4,3570,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 5, 4), datetime.date(2021, 6, 14), datetime.date(2022, 4, 9), datetime.date(2021, 4, 26), datetime.date(2021, 1, 29)]",2.78,119.0,149.87,1.0,1.33
269,269,369,content_creator,Recomendeitor,"[26, 92, 197]",412,"['short', 'live']",6,3,298,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 12, 1), datetime.date(2021, 2, 3), datetime.date(2021, 11, 23)]",3.50,49.67,72.33,1.0,1.5
270,270,370,admin,Recomendeitor_Plus,"[59, 6]",1050,"['short', 'series']",10,2,1090,['Recomendeitor'],5,"[datetime.date(2021, 10, 17), datetime.date(2022, 11, 21)]",2.45,109.0,103.81,1.0,0.4
271,271,371,content_creator,Recomendeitor_Plus,"[130, 197, 112, 20, 90]",1860,"['short', 'documentary', 'live']",30,5,2724,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 10, 13), datetime.date(2022, 4, 7), datetime.date(2022, 1, 24), datetime.date(2022, 3, 3), datetime.date(2021, 3, 14)]",2.44,90.8,146.45,1.0,2.5
272,272,374,moderator,Recomendeitor_Plus,"[67, 87]",822,['short'],12,2,954,['Recomendeitor'],2,"[datetime.date(2021, 9, 2), datetime.date(2021, 11, 18)]",2.20,79.5,116.06,1.0,1.0
273,273,375,content_creator,Recomendeitor,"[129, 167, 104, 11, 117]",1545,"['short', 'series']",15,5,1779,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 2, 14), datetime.date(2021, 12, 18), datetime.date(2021, 3, 22), datetime.date(2021, 3, 11), datetime.date(2022, 2, 7)]",3.34,118.6,115.15,1.0,5.0
274,274,376,admin,Recomendeitor_Plus,"[2, 143, 153, 122, 62]",457,"['short', 'live', 'series', 'movie']",5,5,297,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 9, 17), datetime.date(2022, 6, 15), datetime.date(2022, 11, 7), datetime.date(2022, 9, 20), datetime.date(2021, 10, 1)]",1.92,59.4,64.99,1.0,5.0
275,275,377,consumer,Recomendeitor_Plus,[26],68,['live'],2,1,16,['Recomendeitor'],2,"[datetime.date(2021, 6, 25)]",4.80,8.0,23.53,1.0,0.5
276,276,379,content_creator,Recomendeitor,[30],46,['series'],1,1,87,['Recomendeitor'],1,"[datetime.date(2022, 11, 2)]",2.00,87.0,189.13,1.0,1.0
277,277,380,content_creator,Recomendeitor_Plus,"[161, 196]",1650,"['short', 'series']",12,2,1266,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 11, 4), datetime.date(2022, 6, 10)]",3.10,105.5,76.73,1.0,0.67
278,278,381,admin,Recomendeitor,"[6, 171, 76, 83, 53, 91]",1944,"['short', 'series', 'movie']",24,6,1904,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 6, 5), datetime.date(2022, 10, 6), datetime.date(2021, 2, 27), datetime.date(2022, 7, 13), datetime.date(2021, 11, 2), datetime.date(2022, 2, 9)]",2.95,79.33,97.94,1.0,3.0
279,279,382,moderator,Recomendeitor,"[131, 60]",2832,"['short', 'live']",24,2,2520,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 9, 15), datetime.date(2022, 10, 3)]",2.15,105.0,88.98,1.0,0.67
280,280,383,moderator,Recomendeitor_Plus,"[194, 99, 196, 198, 115, 53, 156]",1013,"['short', 'live', 'series', 'documentary']",7,7,596,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 5, 13), datetime.date(2022, 11, 12), datetime.date(2021, 8, 2), datetime.date(2022, 12, 28), datetime.date(2022, 4, 22), datetime.date(2022, 11, 10), datetime.date(2021, 3, 7)]",2.96,85.14,58.84,1.1666666666666667,7.0
281,281,385,moderator,Recomendeitor,"[16, 117]",1284,"['short', 'live']",12,2,1056,['Recomendeitor_Plus'],2,"[datetime.date(2022, 5, 2), datetime.date(2021, 3, 30)]",3.00,88.0,82.24,1.0,1.0
282,282,386,consumer,Recomendeitor_Plus,"[5, 157, 30]",546,"['documentary', 'series', 'movie']",6,3,766,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 8, 24), datetime.date(2021, 5, 16), datetime.date(2021, 7, 26)]",2.67,127.67,140.29,1.0,1.5
283,283,387,moderator,Recomendeitor_Plus,"[199, 141, 47, 181, 183]",2968,"['live', 'documentary', 'series', 'movie']",40,5,3040,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 8, 19), datetime.date(2022, 2, 26), datetime.date(2022, 1, 16), datetime.date(2022, 11, 4), datetime.date(2021, 12, 30)]",2.92,76.0,102.43,1.0,1.25
284,284,389,content_creator,Recomendeitor,"[2, 71]",424,['live'],8,2,968,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2021, 4, 2), datetime.date(2022, 2, 17)]",3.30,121.0,228.3,1.0,0.5
285,285,390,consumer,Recomendeitor_Plus,"[169, 44, 198, 87]",734,"['short', 'series', 'live']",8,4,258,['Recomendeitor'],2,"[datetime.date(2021, 4, 5), datetime.date(2022, 7, 17), datetime.date(2022, 8, 13), datetime.date(2022, 3, 29)]",2.18,32.25,35.15,1.0,2.0
286,286,391,content_creator,Recomendeitor,[85],120,['series'],4,1,492,['Recomendeitor_Plus'],1,"[datetime.date(2021, 4, 22)]",1.00,123.0,410.0,1.0,1.0
287,287,392,content_creator,Recomendeitor,[200],327,['live'],3,1,162,['Recomendeitor'],1,"[datetime.date(2021, 12, 19)]",2.60,54.0,49.54,1.0,1.0
288,288,393,moderator,Recomendeitor,"[51, 109]",760,"['short', 'series']",8,2,748,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2021, 9, 5), datetime.date(2022, 4, 19)]",3.15,93.5,98.42,1.0,1.0
289,289,395,consumer,Recomendeitor,[47],168,['movie'],2,1,208,['Recomendeitor_Plus'],1,"[datetime.date(2021, 3, 30)]",2.70,104.0,123.81,1.0,1.0
290,290,396,moderator,Recomendeitor,"[74, 19, 156]",5100,"['documentary', 'series', 'movie']",36,3,3180,['Recomendeitor'],3,"[datetime.date(2022, 9, 28), datetime.date(2022, 5, 12), datetime.date(2022, 2, 3)]",4.23,88.33,62.35,1.0,1.0
291,291,398,moderator,Recomendeitor,[4],306,['series'],6,1,480,['Recomendeitor_Plus'],3,"[datetime.date(2021, 5, 22)]",1.90,80.0,156.86,1.0,0.33
